"Hora","dia","consumo_mwh","mes","mes_nombre","fecha","hora_inicio","dia_semana","dia_semana_num","es_fin_semana","es_semana_laboral","es_viernes","estacion","es_ciclo_escolar_activo","es_feriado","tipo_dia","periodo_dia","mes_factor","dia_semana_factor"
"8.3333333333333301E-2",19,76.7213423928704,1,"ENERO",2023-01-19,8,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","jueves"
"8.3333333333333301E-2",20,76.7186766023961,1,"ENERO",2023-01-20,8,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Mañana","ENERO","viernes"
"8.3333333333333301E-2",21,76.9388554710803,1,"ENERO",2023-01-21,8,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Mañana","ENERO","sábado"
"8.3333333333333301E-2",22,76.5684330336339,1,"ENERO",2023-01-22,8,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Mañana","ENERO","domingo"
"8.3333333333333301E-2",23,81.8772165673879,1,"ENERO",2023-01-23,8,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","lunes"
"8.3333333333333301E-2",24,76.9252431038738,1,"ENERO",2023-01-24,8,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","martes"
"8.3333333333333301E-2",25,76.7918405839085,1,"ENERO",2023-01-25,8,"miércoles",3,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","miércoles"
"8.3333333333333301E-2",26,76.687275012444,1,"ENERO",2023-01-26,8,"jueves",4,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","jueves"
"8.3333333333333301E-2",27,76.8320134960799,1,"ENERO",2023-01-27,8,"viernes",5,FALSE,FALSE,TRUE,"Verano",FALSE,FALSE,"Viernes","Mañana","ENERO","viernes"
"8.3333333333333301E-2",28,39.86614162,1,"ENERO",2023-01-28,8,"sábado",6,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Mañana","ENERO","sábado"
"8.3333333333333301E-2",29,81.6581324086151,1,"ENERO",2023-01-29,8,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,FALSE,"Fin de Semana","Mañana","ENERO","domingo"
"8.3333333333333301E-2",30,40.73483232,1,"ENERO",2023-01-30,8,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","lunes"
"8.3333333333333301E-2",31,76.7025368765976,1,"ENERO",2023-01-31,8,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Mañana","ENERO","martes"
"0.125",1,59.07518044,1,"ENERO",2023-01-01,0,"domingo",7,TRUE,FALSE,FALSE,"Verano",FALSE,TRUE,"Feriado","Madrugada","ENERO","domingo"
"0.125",2,76.3222543897758,1,"ENERO",2023-01-02,0,"lunes",1,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","lunes"
"0.125",3,76.279395741675,1,"ENERO",2023-01-03,0,"martes",2,FALSE,TRUE,FALSE,"Verano",FALSE,FALSE,"Semana Laboral","Madrugada","ENERO","martes"
